State_Name,Season,Crop,Area,Production
2,4,12,35.0,9.0
2,4,7,71.0,81.0
2,4,18,33858.0,22685.0
2,4,13,23048.0,23832.0
2,4,16,15242.0,16980.0
2,4,22,8.0,2.0
2,4,9,399.0,2148.0
2,4,23,482.0,11514.0
2,4,17,909.0,1312.0
2,4,1,22099.0,57236.0
2,4,25,96.0,67.0
2,4,11,363.0,292.0
2,4,19,520.0,297.0
2,2,2,769.0,11693.0
2,2,4,908.0,3896970.0
2,2,26,8953.0,2266.0
2,2,27,4.0,34.0
2,2,5,284.0,25395.0
2,2,6,28.0,379.0
2,2,8,39.0,272.0
2,1,12,27942.0,7628.0
2,1,15,8552.0,9055.0
2,1,7,3765.0,7127.0
2,1,18,16.0,17.0
2,1,13,758700.0,333828.0
2,1,16,3900.0,6720.0
2,1,9,2667.0,7129.0
2,1,10,1511.0,730.0
2,1,23,1165.0,19232.0
2,1,17,5124.0,12405.0
2,1,1,32878.0,95609.0
2,1,25,1434.0,627.0
2,1,14,51610.0,33580.0
2,1,11,487.0,176.0
2,4,12,5.0,1.0
2,4,7,108.0,168.0
2,4,18,47894.0,50145.0
2,4,13,18773.0,29192.0
2,4,16,15170.0,17446.0
2,4,22,5.0,1.0
2,4,9,447.0,2893.0
2,4,10,40.0,12.0
2,4,23,380.0,8465.0
2,4,17,544.0,725.0
2,4,1,38119.0,108906.0
2,4,21,2.0,1.0
2,4,11,127.0,86.0
2,4,19,307.0,213.0
2,2,2,1582.0,462.0
2,2,4,851.0,3053700.0
2,2,26,4741.0,1119.0
2,2,5,490.0,42470.0
2,2,6,31.0,411.0
2,2,8,8.0,40.0
2,1,12,33454.0,6557.0
2,1,15,7638.0,7144.0
2,1,7,2737.0,6128.0
2,1,13,732262.0,259953.0
2,1,16,2906.0,4545.0
2,1,9,3541.0,3431.0
2,1,10,1150.0,174.0
2,1,23,776.0,8432.0
2,1,17,5157.0,12140.0
2,1,1,29066.0,66329.0
2,1,25,919.0,180.0
2,1,14,60319.0,22149.0
2,1,11,32.0,2.0
2,4,7,83.0,161.0
2,4,18,54264.0,20186.0
2,4,13,17529.0,18651.0
2,4,16,12676.0,11497.0
2,4,22,8.0,2.0
2,4,9,1288.0,8933.0
2,4,10,4.0,1.0
2,4,23,401.0,7192.0
2,4,17,417.0,517.0
2,4,1,10960.0,20462.0
2,4,25,10.0,2.0
2,4,11,408.0,236.0
2,4,19,362.0,333.0
2,2,2,19.0,1006.0
2,2,29,1026.0,10162.0
2,2,30,788.0,4000.0
2,2,4,869.0,3691149.0
2,2,26,3914.0,481.0
2,2,31,111.0,2075.0
2,2,32,3968.0,26176.0
2,2,33,13767.0,112541.0
2,2,34,2418.0,1552.0
2,2,36,1544.0,201409.0
2,2,27,2.0,17.0
2,2,5,329.0,22481.0
2,2,6,50.0,540.0
2,2,37,3356.0,16627.0
2,1,12,41178.0,6959.0
2,1,15,4212.0,4262.0
2,1,7,2920.0,10702.0
2,1,13,670935.0,187862.0
2,1,16,12487.0,30830.0
2,1,9,6246.0,10718.0
2,1,10,1216.0,662.0
2,1,23,846.0,13250.0
2,1,17,3353.0,3547.0
2,1,1,17515.0,44891.0
2,1,24,245.0,83.0
2,1,25,1420.0,299.0
2,1,28,16.0,18.0
2,1,14,74525.0,29572.0
